product_name,price,quantity,unit,date,seller
Papa alfa chica,45.9,1,kg,2026-02-13,walmart
Nopal Cambray empacado,69,1,kg,2026-02-13,walmart
Ajo en Malla s,42.9,3,pza,2026-02-13,walmart
Tomatillo,56,1,kg,2026-02-13,walmart
Jitomate cocktail orgánico Campo Vivo mezcla de jitomates cherry,59,280,g,2026-02-13,walmart
Jitomate saladet orgánico Marketside,46.9,450,g,2026-02-13,walmart
Nopal en tira empacado,44.9,1,kg,2026-02-13,walmart
Tomates Sunset Campari,48.9,454,g,2026-02-13,walmart
Tomates Naturesweet Glorys,56,283,g,2026-02-13,walmart
Tomate Marketside cherry,46.9,283,g,2026-02-13,walmart
Tomate verde orgánico Campo Vivo,54,450,g,2026-02-13,walmart
Tomate uva y cherry NatureSweet Constellation,59,283,g,2026-02-13,walmart
Jitomate cherry orgánico Campo Vivo,52,280,g,2026-02-13,walmart
Tomate Marketside uva,46.9,283,g,2026-02-13,walmart
Chilacayote,69,1,kg,2026-02-13,walmart
Jitomate uva orgánico Campo Vivo,55,280,g,2026-02-13,walmart
Tomates NatureSweet Comets,56,283,g,2026-02-13,walmart
"Fotbe Fruits And Vegetables Men's Camiseta sin Mangas Estampada para Hombres, Playera Casual para Gimnasio, Entrenamiento, Playa-XX-Large",499.75,,g,2026-02-13,walmart
Cilantro,12.9,1,pza,2026-02-13,walmart
Hierbabuena,14.9,1,pza,2026-02-13,walmart
Epazote,14.9,1,pza,2026-02-13,walmart
Lechuga romana,19.9,1,pza,2026-02-13,walmart
Salvia,14.9,1,pza,2026-02-13,walmart
Huauzontle,69,1,kg,2026-02-13,walmart
Té de limón,14.9,1,pza,2026-02-13,walmart
Col blanca,29.9,1,kg,2026-02-13,walmart
Apio,36.9,1,kg,2026-02-13,walmart
Lechuga orejona,26.9,1,pza,2026-02-13,walmart
Kale,16.9,1,pza,2026-02-13,walmart
Acelga,12.9,1,pza,2026-02-13,walmart
Romero macho,14.9,1,pza,2026-02-13,walmart
Verdolagas,41.9,1,kg,2026-02-13,walmart
Berros,14.9,1,pza,2026-02-13,walmart
Lechuga morada,26.9,1,pza,2026-02-13,walmart
Malanga,59,1,kg,2026-02-13,walmart
Hierbas de Olor,14.9,1,pza,2026-02-13,walmart
Alpont Cilantro amos s,366.35,120,g,2026-02-13,walmart
Pontino Cilantro amos s,305.15,105,g,2026-02-13,walmart
Alpont Semilla De Cilantro Molida amos s,141.1,40,g,2026-02-13,walmart
Alpont Perejil amos s,134.3,15,g,2026-02-13,walmart
Alpont Cilantro amos s,134.3,14,g,2026-02-13,walmart
Pontino Semilla De Cilantro Molida amos s,364.65,315,g,2026-02-13,walmart
Alpont Semilla De Cilantro amos s,349.35,330,g,2026-02-13,walmart
Pontino Semilla De Cilantro amos s,302.6,135,g,2026-02-13,walmart
Pontino Cilantro amos s,141.1,14,g,2026-02-13,walmart
Pontino Perejil amos s,126.65,14,g,2026-02-13,walmart
Alpont Semilla De Cilantro Molida amos s,328.1,365,g,2026-02-13,walmart
Alpont Semilla De Cilantro amos s,120.7,23,g,2026-02-13,walmart
Zanahoria,13.9,1,kg,2026-02-13,walmart
Pepino,19.9,1,kg,2026-02-13,walmart
Chile poblano,74,1,kg,2026-02-13,walmart
Zanahoria selecta en charola,26.9,454,g,2026-02-13,walmart
